SIA Code,Vaccine Type,Start,End,Year,Month,Country,Province,District,Admin 3,Admin 4,Children Checked,Children Unvaccinated,Classification,Status
PAK-2013-001, tOPV,2013-01-14,2013-01-16,2013,January,PAKISTAN,,,JATI,G. M. BARAN,50,4,Low,Valid
PAK-2013-001, tOPV,2013-01-14,2013-01-16,2013,January,PAKISTAN,ISLAMABAD,CDA,CDA,MERABADIA,50,3,Low,Valid
PAK-2013-001, tOPV,2013-01-14,2013-01-16,2013,January,PAKISTAN,ISLAMABAD,ICT,ICT,SOHAN,50,2,Pass,Valid
PAK-2013-001, tOPV,2013-01-14,2013-01-16,2013,January,PAKISTAN,PUNJAB,FAISALABAD,FSD CITY,UC 189,50,2,Pass,Valid
PAK-2013-001, tOPV,2013-01-14,2013-01-16,2013,January,PAKISTAN,PUNJAB,FAISALABAD,FSD CITY,UC 266,50,6,Low,Valid
PAK-2013-001, tOPV,2013-01-14,2013-01-16,2013,January,PAKISTAN,PUNJAB,FAISALABAD,FSD CITY,UC 288,50,5,Low,Valid
PAK-2013-001, tOPV,2013-01-14,2013-01-16,2013,January,PAKISTAN,PUNJAB,LAHORE,RAVI TOWN,UC 29,50,5,Low,Valid
PAK-2013-001, tOPV,2013-01-14,2013-01-16,2013,January,PAKISTAN,PUNJAB,LAHORE,SAMANABAD TOWN,UC 84,50,4,Low,Valid
PAK-2013-001, tOPV,2013-01-14,2013-01-16,2013,January,PAKISTAN,PUNJAB,RAWALPINDI,RWP CITY,U.C NO. 8,50,3,Low,Valid
PAK-2013-001, tOPV,2013-01-14,2013-01-16,2013,January,PAKISTAN,PUNJAB,RYKHAN,SADIQABAD,AHMEDPUR LAMMA DEH,50,1,Pass,Valid
PAK-2013-001, tOPV,2013-01-14,2013-01-16,2013,January,PAKISTAN,SINDH,BADIN,MATLI,HALEPOTA,50,8,Fail,Valid
PAK-2013-001, tOPV,2013-01-14,2013-01-16,2013,January,PAKISTAN,SINDH,DADU,JOHI,BAHAWALPUR,50,4,Low,Valid
PAK-2013-001, tOPV,2013-01-14,2013-01-16,2013,January,PAKISTAN,SINDH,GHOTKI,GHOTKI,GHOTKI 3,50,0,High Pass,Valid
PAK-2013-001, tOPV,2013-01-14,2013-01-16,2013,January,PAKISTAN,SINDH,GHOTKI,MIRPUR MATHELO,YARO LUND,50,1,Pass,Valid
PAK-2013-001, tOPV,2013-01-14,2013-01-16,2013,January,PAKISTAN,SINDH,HYDERABAD,HYDERABAD CITY,HYDERABAD-15,50,0,High Pass,Valid
PAK-2013-001, tOPV,2013-01-14,2013-01-16,2013,January,PAKISTAN,SINDH,HYDERABAD,HYDERABAD CITY,HYDERABAD-8,50,1,Pass,Valid
PAK-2013-001, tOPV,2013-01-14,2013-01-16,2013,January,PAKISTAN,SINDH,HYDERABAD,QASIMABAD,CANTT 1,50,1,Pass,Valid
